"ID_wariantu_klubu","Skrot","Nazwa","ID_zestawienia_klubow"
"359628","R2S","R2 Sailing Team","9077"
"576156","NSZ","Jachtklub Nowy Sztynort","9060"
"832153","YKS","YKP Szczecin","9107"
"1026501","OCC","Ocean Challenge Yacht Club Ladies Sailing Team","9062"
"1696220","MAG","Yacht Club Mechelinki","9041"
"2877157","YCJ","Yacht Club Gdańsk Junior","9099"
"2968352","SLA","Slava Racing","9084"
"3343985","PGR","AZS Politechnika Gdańska","9069"
"3475541","POG","SEJK Pogon Szczecin","9072"
"3964823","MOS","SailingEvent MOS Iława","9053"
"4192131","RMR","MBSW Rainmaker Giżycko","9080"
"4866531","SIS","Siostry KS AZS AWFiS Gdańsk","9111"
"5060785","POG","Pogoń Szczecin","9072"
"5117166","FLO","WKS Flota Gdynia","9014"
"5178638","GAR","Miasto Gliwice KW Garland","9015"
"5394163","PJK","Puchar Polski Jachtów Kabinowych","9070"
"8240115","MIC","Inex Green Micro Class","9051"
"8699349","YS2","Yacht Club Sopot 2","9101"
"9193535","HAL","KŻ Hals Gostynin","9025"
"9704316","YKP","YKP Gdynia","9106"
"9816690","DZY","PŻKS Dżygit Białystok","9011"
"10322675","JKKP","Jacht Klub Kamien Pomorski","9034"
"10576990","OCC","Ocean Challenge Yacht Club","9062"
"10708798","YZ2","YKP Szczecin 2","9107"
"11014176","JKM","Jacht Klub Gryf Gdynia","9023"
"11484760","JSG","MOWI Jacht Klub Stoczni Gdańskiej","9039"
"11851163","OKZ","Olsztynski Klub Zeglarski","9066"
"12403011","HRM","HRM Racing","9028"
"14091040","MEC","Port Mechelinki","9041"
"14257077","MUKZ","MUKŻ Bałtyk Mielno","9054"
"14947601","ONB","Onboard","9067"
"15125641","BOL","Sailing Team Boleslawiec","9009"
"15248730","LAS","RKS Lasery Zegrze","9043"
"17296471","HALS","KŻ Hals Gostynin","9025"
"18112440","MUS2","Politechnika Morska Szczecin 2","9055"
"18767554","ISK","KS Iskra AMW Gdynia","9030"
"19531518","YCSY","Yacht Club Sopot Youth","9101"
"20173236","YCB","Yacht Club Białołęka","9098"
"20369814","WTZ","Warszawskie Towarzystwo Zeglarskie","9095"
"20708529","JSG","Jachtklub Stoczni Gdańskiej","9039"
"20953095","ZEL","Żegluj Lublin","9109"
"21267167","YCS","Yacht Club Sopot","9101"
"21491204","APO","Klub Żeglarski Auto Podlasie","9004"
"21863651","GRP","TFE Grupa Regatowa Powidz","9021"
"22299821","OC2","Ocean Challenge Ladies Sailing Team 2","9062"
"22762275","NYCO","Nauticus Yacht Club Olsztyn","9055"
"23372296","NAV","UKS Navigo","9057"
"23474192","KKZ","Kościański Klub Żeglarski","9040"
"23628341","GAR","KW Garland Gliwice","9015"
"25482520","AMW","KS Iskra AMW Gdynia","9003"
"25666958","NAU","Nauticus Olsztyn","9056"
"26090069","GQR","GQ Racing","9114"
"26565440","JKKP","Jacht Klub Kamień Pomorski","9034"
"26725552","YSZ","YKP Szczecin","9107"
"27044513","POL","Polsporty Sailing","9073"
"27807818","JKW","Jachtklub Wielkopolski Poznań","9036"
"28130866","LE2","Legia Warszawa 2","9046"
"28865392","JKW","HRM Racing JKW Poznań","9036"
"29673695","OKZ","Olsztyński Klub Żeglarski","9066"
"30078914","YCGY","Yacht Club Gdańsk Youth","9099"
