"ID_miejsca","ID_wyscigu","ID_wariantu_klubu","Zajete_miejsce","Kary","Numer_lodki"
"25199","95158478","57461405","1.00","0","0"
"25200","10164333","57461405","2.00","0","0"
"25201","78792350","57461405","7.00","0","0"
"25202","49488836","57461405","2.00","0","0"
"25203","94400432","57461405","2.00","0","0"
"25204","20315379","57461405","7.00","0","0"
"25205","20611740","57461405","1.00","0","0"
"25206","28917660","57461405","1.00","0","0"
"25207","58678967","57461405","7.00","0","0"
"25208","93262944","57461405","1.00","0","0"
"25209","22344339","57461405","1.00","0","0"
"25210","93613839","57461405","7.00","0","0"
"25211","96367843","57461405","1.00","0","0"
"25212","82324271","57461405","1.00","0","0"
"25213","11928401","57461405","7.00","0","0"
"25214","27396304","57461405","1.00","0","0"
"25215","74331278","57461405","2.00","0","0"
"25216","47409268","57461405","7.00","0","0"
"25217","95158478","77473926","7.00","0","0"
"25218","10164333","77473926","1.00","0","0"
"25219","78792350","77473926","1.00","0","0"
"25220","49488836","77473926","1.00","0","0"
"25221","94400432","77473926","1.00","0","0"
"25222","20315379","77473926","7.00","0","0"
"25223","20611740","77473926","2.00","0","0"
"25224","28917660","77473926","7.00","0","0"
"25225","58678967","77473926","1.00","0","0"
"25226","93262944","77473926","7.00","0","0"
"25227","22344339","77473926","5.00","0","0"
"25228","93613839","77473926","1.00","0","0"
"25229","96367843","77473926","3.00","0","0"
"25230","82324271","77473926","2.00","0","0"
"25231","11928401","77473926","7.00","0","0"
"25232","27396304","77473926","3.00","0","0"
"25233","74331278","77473926","7.00","0","0"
"25234","47409268","77473926","7.00","1","0"
"25235","95158478","64830853","5.00","0","0"
"25236","10164333","64830853","7.00","0","0"
"25237","78792350","64830853","3.00","0","0"
"25238","49488836","64830853","3.00","0","0"
"25239","94400432","64830853","3.00","0","0"
"25240","20315379","64830853","7.00","0","0"
"25241","20611740","64830853","7.00","0","0"
"25242","28917660","64830853","2.00","0","0"
"25243","58678967","64830853","4.00","0","0"
"25244","93262944","64830853","4.00","0","0"
"25245","22344339","64830853","7.00","0","0"
"25246","93613839","64830853","2.00","0","0"
"25247","96367843","64830853","2.00","0","0"
"25248","82324271","64830853","5.00","0","0"
