"ID","regaty","ID_wariantu_klubu","miejsceWRegatach"
"3417","99194464","57461405","1"
"3418","99194464","77473926","2"
"3419","99194464","64830853","3"
"3420","99194464","66803490","4"
"3421","99194464","20708529","5"
"3422","99194464","97519162","6"
"3423","99194464","68504006","7"
"3424","99194464","96517047","8"
"3425","99194464","15248730","9"
"3426","90193164","57461405","1"
"3427","90193164","66803490","2"
"3428","90193164","77473926","3"
"3429","90193164","64830853","4"
"3430","90193164","20708529","5"
"3431","90193164","68504006","6"
"3432","90193164","96517047","7"
"3433","90193164","97519162","8"
"3434","90193164","15248730","9"
"3435","39885461","57461405","1"
"3436","39885461","64830853","2"
"3437","39885461","66803490","3"
"3438","39885461","97519162","4"
"3439","39885461","77473926","5"
"3440","39885461","20708529","6"
"3441","39885461","68504006","7"
"3442","39885461","15248730","8"
"3443","39885461","96517047","9"
"3444","16400118","77473926","1"
"3445","16400118","57461405","2"
"3446","16400118","68504006","3"
"3447","16400118","64830853","4"
"3448","16400118","97519162","5"
"3449","16400118","66803490","6"
"3450","16400118","20708529","7"
"3451","16400118","15248730","8"
"3452","16400118","96517047","9"
"3453","96787646","32679058","1"
"3454","96787646","5394163","2"
"3455","96787646","35887754","3"
"3456","96787646","97519162","4"
"3457","96787646","3343985","5"
"3458","96787646","20708529","6"
"3459","96787646","38352842","7"
"3460","96787646","28130866","8"
"3461","96787646","23372296","9"
"3462","96787646","15248730","10"
"3463","96787646","23628341","11"
"3464","96787646","96517047","12"
"3465","61637084","35887754","1"
"3466","61637084","32679058","2"
"3467","61637084","23628341","3"
"3468","61637084","5394163","4"
"3469","61637084","20708529","5"
"3470","61637084","23372296","6"
"3471","61637084","3343985","7"
"3472","61637084","97519162","8"
"3473","61637084","15248730","9"
"3474","61637084","28130866","10"
"3475","61637084","38352842","11"
"3476","61637084","96517047","12"
"3477","11173302","32679058","1"
"3478","11173302","3343985","2"
"3479","11173302","5394163","3"
"3480","11173302","23628341","4"
"3481","11173302","38352842","5"
"3482","11173302","35887754","6"
"3483","11173302","97519162","7"
"3484","11173302","20708529","8"
"3485","11173302","15248730","9"
"3486","11173302","23372296","10"
"3487","11173302","28130866","11"
"3488","11173302","96517047","12"
"3489","56595466","32679058","1"
"3490","56595466","97519162","2"
"3491","56595466","38352842","3"
"3492","56595466","23372296","4"
"3493","56595466","23628341","5"
"3494","56595466","35887754","6"
"3495","56595466","5394163","7"
"3496","56595466","20708529","8"
"3497","56595466","15248730","9"
"3498","56595466","3343985","10"
"3499","56595466","28130866","11"
"3500","56595466","96517047","12"
"3501","79772225","75141924","1"
"3502","79772225","95701656","2"
"3503","79772225","26725552","3"
"3504","79772225","32679058","4"
"3505","79772225","97015711","5"
"3506","79772225","23372296","6"
"3507","79772225","86806554","7"
"3508","79772225","59287240","8"
"3509","79772225","1026501","9"
"3510","79772225","23474192","10"
"3511","79772225","21863651","11"
"3512","79772225","80070716","12"
"3513","79772225","48068506","13"
"3514","79772225","28130866","14"
"3515","79772225","40632154","15"
"3516","79772225","8699349","16"
"3517","79772225","15248730","17"
"3518","79772225","96517047","18"
"3519","20201142","97015711","1"
"3520","20201142","95701656","2"
"3521","20201142","75141924","3"
"3522","20201142","26725552","4"
"3523","20201142","59287240","5"
"3524","20201142","21863651","6"
"3525","20201142","32679058","7"
"3526","20201142","23474192","8"
"3527","20201142","23372296","9"
"3528","20201142","8699349","10"
"3529","20201142","86806554","11"
"3530","20201142","80070716","12"
"3531","20201142","15248730","13"
"3532","20201142","28130866","14"
"3533","20201142","1026501","15"
"3534","20201142","40632154","16"
"3535","20201142","48068506","17"
"3536","20201142","96517047","18"
"3537","96613811","26725552","1"
"3538","96613811","97015711","2"
"3539","96613811","95701656","3"
"3540","96613811","75141924","4"
"3541","96613811","23372296","5"
"3542","96613811","32679058","6"
"3543","96613811","28130866","7"
"3544","96613811","59287240","8"
"3545","96613811","15248730","9"
"3546","96613811","86806554","10"
"3547","96613811","21863651","11"
"3548","96613811","8699349","12"
"3549","96613811","23474192","13"
"3550","96613811","80070716","14"
"3551","96613811","40632154","15"
"3552","96613811","1026501","16"
"3553","96613811","48068506","17"
"3554","96613811","96517047","18"
"3555","68966834","75141924","1"
"3556","68966834","97015711","2"
"3557","68966834","26725552","3"
"3558","68966834","95701656","4"
"3559","68966834","86806554","5"
"3560","68966834","21863651","6"
"3561","68966834","23474192","7"
"3562","68966834","32679058","8"
"3563","68966834","80070716","9"
"3564","68966834","59287240","10"
"3565","68966834","8699349","11"
"3566","68966834","1026501","12"
"3567","68966834","28130866","13"
"3568","68966834","15248730","14"
"3569","68966834","23372296","15"
"3570","68966834","48068506","16"
"3571","68966834","40632154","17"
"3572","68966834","96517047","18"
"3573","31071604","73113253","1"
"3574","31071604","12403011","2"
"3575","31071604","39923431","3"
"3576","31071604","79632095","4"
"3577","31071604","8699349","5"
"3578","31071604","80070716","6"
"3579","31071604","27044513","7"
"3580","31071604","79941094","8"
