"ID_wyscigu","ID_Regat","Numer_wyscigu","Finalowy"
"138801","23242296","6","0"
"208659","73972099","20","0"
"350919","34786669","5","0"
"363983","21078561","4","0"
"391439","81519758","5","0"
"435321","78707344","7","0"
"451822","21078561","1","0"
"476125","81519758","14","0"
"526343","42322105","14","0"
"538162","66750266","1","0"
"590998","59294752","7","0"
"767820","81519758","6","0"
"780039","39731721","6","0"
"934264","40323829","1","0"
"960995","69259421","2","0"
"1055209","48680673","6","0"
"1193193","73972099","9","0"
"1341423","16116614","14","0"
"1540936","52984811","7","0"
"1612391","69259421","1","0"
"1656268","16432618","7","0"
"1688968","41227949","1","0"
"1730011","20201142","7","0"
"1866677","1584594","11","0"
"1903620","19492707","11","0"
"1922482","72158401","9","0"
"1923615","11291612","6","0"
"1957833","21078561","2","0"
"1962757","73972099","16","0"
"2046722","42322105","13","0"
"2189720","76884717","11","0"
"2218114","16117658","7","0"
"2228923","76884717","7","0"
"2516236","50632845","8","0"
"2572610","31071604","6","0"
"2623359","7819477","9","0"
"2728101","27131848","4","0"
"2771213","72722761","6","0"
"2840417","16116614","2","0"
"2884984","86083690","5","0"
"3216569","76884717","4","0"
"3412673","72722761","3","0"
"3416422","59734039","1","0"
"3854130","42322105","4","0"
"4048836","53378923","13","0"
"4431848","11291612","4","0"
"4482395","40323829","7","0"
"4727891","59734039","12","0"
"4805377","19492707","7","0"
"5217731","76884717","5","0"
"5251615","11173302","1","0"
"5299689","96787646","10","0"
"5440379","72731202","6","0"
"5511604","34786669","3","0"
"5941136","11291612","3","0"
"5950772","74940339","11","0"
"6014968","14732889","1","0"
"6255790","68966834","9","0"
"6417530","85326506","21","0"
"6558432","1584594","17","0"
"6787167","28212392","10","0"
"6863565","72686373","7","0"
"6893400","73972099","12","0"
"6973817","31071604","5","0"
"6979461","70902597","2","0"
"6990805","75270731","2","0"
"7360811","77100366","9","0"
"7367295","86083690","3","0"
"7383424","42322105","8","0"
"7491162","20201142","5","0"
"8043252","4685116","14","0"
"8110448","85326506","10","0"
"8182901","76884717","6","0"
"8189601","52984811","6","0"
"8412702","97148389","2","0"
"8455028","44960821","20","0"
"8461682","72870325","3","0"
"8528811","42903369","8","0"
"8575304","65285653","5","0"
"8930074","44960821","18","0"
"8989557","9304588","2","0"
"9044993","44960821","15","0"
"9246675","11291612","1","0"
"9395757","46476906","22","0"
"9489234","20201142","10","0"
"9678100","28212392","11","0"
"9723435","97148389","10","0"
"9730103","98027676","3","0"
"9793917","81519758","9","0"
"9948115","16400118","6","0"
"10021753","27131848","1","0"
"10164333","99194464","2","0"
"10283037","80803598","26","0"
"10298396","73972099","25","0"
"10328088","85326506","14","0"
"10348593","4685116","13","0"
"10378819","23503367","7","0"
"10492249","76884717","12","0"
"10571389","52984811","2","0"
"10573240","48680673","9","0"
"10804640","9923664","7","0"
"10873416","66750266","3","0"
"11035564","80803598","17","0"
"11097575","39885461","8","0"
"11268875","61637084","1","0"
"11311215","32915456","7","0"
"11378372","35162940","11","1"
"11436266","66750266","2","0"
"11476875","96613811","10","0"
"11567738","98027676","19","0"
"11574814","16116614","5","0"
"11687695","72686373","5","0"
"11773348","23242296","4","0"
"11928401","99194464","15","0"
"12033131","1584594","18","0"
"12117186","78707344","3","0"
"12139533","42322105","15","0"
"12177785","20201142","2","0"
"12208248","19492707","5","0"
"12301209","39731721","1","0"
"12334729","9304588","5","0"
"12744248","79990660","8","0"
"12786790","80803598","10","0"
"13050985","7819477","5","0"
"13280477","34461511","3","0"
"13281479","23503367","2","0"
"13364188","50632845","7","0"
"13412843","9664111","6","0"
"13452466","51626046","1","0"
"13591890","10285883","13","0"
"13624905","16116614","11","0"
"13703977","97148389","11","0"
"13710943","53378923","6","0"
"13749476","23242296","12","0"
"13844239","32915456","4","0"
"13932994","10285883","14","0"
"14027721","51626046","13","0"
"14186101","1584594","7","0"
"14237237","16116614","6","0"
"14285096","85326506","15","0"
"14327726","69259421","9","0"
"14373557","87373489","9","0"
"14453711","77100366","12","0"
"14758894","23242296","2","0"
"14841181","42322105","1","0"
"14878837","44960821","6","0"
"14961816","56840754","3","0"
"14999474","9923664","6","0"
"15175743","10285883","8","0"
"15177722","72731202","1","0"
"15189074","16400118","1","0"
"15272233","50632845","12","0"
"15291303","41227949","7","0"
"15348702","16117658","4","0"
"15479323","56595466","3","0"
"15481950","59734039","3","0"
"15507243","51774063","9","0"
"15595527","39731721","2","0"
"15601875","39885461","9","0"
"15915689","79125934","3","0"
"15973047","51626046","3","0"
"16012510","94367801","4","0"
"16074965","40323829","6","0"
"16186781","79990660","6","0"
"16196349","34786669","7","0"
"16251074","59734039","5","0"
"16288442","48680673","11","0"
"16491276","23503367","8","0"
"16556341","75270731","1","0"
"16680302","46476906","9","0"
"16748448","32915456","3","0"
"16754794","72870325","10","0"
"16825540","96613811","12","0"
"16860843","59734039","9","0"
"16940034","77100366","1","0"
"17125143","16861691","2","0"
"17144545","79701472","13","0"
"17362010","59609769","3","0"
"17381538","32915456","11","0"
"17411409","44960821","7","0"
"17447608","31071604","7","0"
"17696366","23242296","5","0"
"17806616","75270731","11","0"
"17875383","75270731","6","0"
"17926643","44960821","21","0"
"18270010","86083690","10","0"
"18508406","85657695","12","0"
"18575168","20201142","11","0"
"18596175","59734039","11","0"
"18641119","72731202","7","0"
"18721769","48680673","4","0"
"18991045","79990660","10","0"
"19071993","77100366","4","0"
"19155928","75270731","4","0"
"19261388","31071604","9","0"
"19287685","39885461","2","0"
"19307584","73972099","1","0"
"19393127","9923664","4","0"
"19410682","97148389","7","0"
"19690214","46476906","12","0"
"19798054","23503367","3","0"
"19835759","56840754","7","0"
"19892586","96787646","12","0"
"19960768","78707344","5","0"
"20058261","85657695","9","0"
"20091999","16861691","4","0"
"20304840","9304588","4","0"
"20315379","99194464","6","0"
"20522304","56595466","6","0"
"20611740","99194464","7","0"
"20776504","79701472","3","0"
"21044606","56595466","5","0"
"21123409","23242296","11","0"
"21134369","8389469","2","0"
"21178741","40323829","5","0"
"21273123","8389469","7","0"
"21297931","14732889","9","0"
"21473039","46597156","2","0"
"21481108","8389469","0","0"
"21689275","40323829","11","0"
"21711068","79772225","4","0"
"21804981","32915456","13","0"
"21912471","98027676","7","0"
"21915677","87373489","8","0"
"21921716","97148389","4","0"
"22087416","70902597","4","0"
"22176482","11173302","8","0"
"22238147","69259421","8","0"
"22344339","99194464","11","0"
"22440667","48680673","7","0"
"22562408","1584594","14","0"
"22614292","16432618","5","0"
"22868740","21078561","3","0"
"22870687","97148389","5","0"
"22879297","76884717","10","0"
"23042356","79772225","6","0"
"23162636","51774063","4","0"
"23265372","75270731","13","0"
"23314882","52984811","16","0"
"23315710","65285653","2","0"
"23340623","69259421","5","0"
"23374676","39731721","9","0"
"23395546","46476906","13","0"
"23404478","80803598","16","0"
"23598062","98027676","2","0"
"23644797","79772225","8","0"
"23700310","16116614","15","0"
"23846983","34461511","1","0"
"23851549","52984811","18","0"
"23986305","72731202","2","0"
"24299137","42903369","5","0"
"24326347","85657695","3","0"
"24363227","50632845","5","0"
"24524736","9664111","0","0"
"24594770","42322105","16","0"
"24655306","94367801","9","0"
"24684776","34786669","13","0"
"24705282","23503367","6","0"
"24711817","66750266","4","0"
"24794105","72722761","7","0"
"24812648","71128501","4","0"
"25083360","34461511","12","0"
"25348582","28212392","8","0"
"25456159","16432618","9","0"
"25586262","85326506","13","0"
"25825041","4685116","11","0"
"25956435","44960821","11","0"
"25965086","35162940","4","0"
"26004031","46476906","2","0"
"26234190","16432618","0","0"
"26357905","70902597","0","0"
"26371834","96613811","1","0"
"26386555","1584594","1","0"
"26615959","39885461","12","0"
"26694370","52984811","21","0"
"26725161","40323829","10","0"
"27065248","98027676","14","0"
"27123262","73972099","3","0"
"27187115","79990660","1","0"
"27216135","97148389","12","0"
"27217008","66750266","5","0"
"27220543","75270731","15","0"
"27354719","51774063","3","0"
"27363697","56840754","13","0"
"27396304","99194464","16","0"
"27423829","11173302","10","0"
"27607797","73972099","17","0"
"27757259","79701472","15","0"
"27898788","74940339","10","0"
"27925577","86083690","12","0"
"28070015","77100366","8","0"
"28102376","79125934","4","0"
"28334227","28212392","2","0"
"28414441","48680673","3","0"
"28463957","80803598","2","0"
"28856080","34461511","11","0"
"28917660","99194464","8","0"
"28957878","46476906","21","0"
"29000932","59734039","8","0"
"29352261","16117658","12","0"
"29409356","34786669","6","0"
"29449120","42322105","10","0"
"29530002","97148389","9","0"
"29771135","79103275","8","0"
"30203030","9304588","9","0"
"30219184","94367801","1","0"
"30300363","85657695","11","0"
"30551147","39885461","13","0"
"30677689","85657695","8","0"
"30734636","27131848","3","0"
"30754583","1584594","4","0"
"30776391","23242296","9","0"
"30789057","56595466","9","0"
"31010092","52984811","23","0"
"31076210","79772225","5","0"
"31137531","79701472","12","0"
"31217293","90193164","3","0"
"31381239","80803598","8","0"
"31480866","59734039","15","0"
"31530972","85326506","17","0"
"31660026","53378923","9","0"
"31755781","80803598","23","0"
"31781499","65285653","1","0"
"31929099","46476906","24","0"
"32258025","52984811","27","0"
"32344330","56595466","7","0"
"32347789","77100366","17","0"
"32436448","79990660","11","0"
"32454426","19492707","6","0"
"32672893","98027676","11","0"
"32823273","81519758","12","0"
"32824301","34786669","4","0"
"32850451","51626046","10","0"
"32856669","48680673","2","0"
"33129539","9923664","12","0"
"33273748","50632845","2","0"
"33367749","31071604","10","0"
"33430804","21078561","8","0"
"33453089","59609769","7","0"
"33666732","79701472","9","0"
"33685842","75270731","5","0"
"33689488","11173302","3","0"
"33838906","77100366","18","0"
"34008829","96787646","1","0"
"34027180","96787646","9","0"
"34043045","59734039","7","0"
"34282873","9923664","8","0"
"34352116","31071604","8","0"
"34387659","46597156","7","0"
"34440399","56840754","15","0"
"34637062","74940339","8","0"
"34707026","1584594","19","0"
"34755141","73972099","4","0"
"34757995","44960821","14","0"
"34766595","72686373","1","0"
"34834952","23242296","1","0"
"34839098","72158401","10","0"
"34957142","14732889","11","0"
"34985354","16117658","11","0"
"35035490","11291612","2","0"
"35070569","8389469","6","0"
"35115420","79103275","3","0"
"35133569","16117658","6","0"
"35271001","73972099","15","0"
"35300972","23242296","8","0"
"35301134","79701472","14","0"
"35364892","52984811","4","0"
"35400143","72731202","5","0"
"35420004","69259421","6","0"
"35466641","79103275","2","0"
"35519396","51626046","6","0"
"35579421","87373489","6","0"
"35698613","72870325","12","0"
"36145374","56595466","10","0"
"36372050","28212392","1","0"
"36397491","39731721","8","0"
"36553150","75270731","3","0"
"36632652","85657695","4","0"
"36646608","69259421","11","0"
"36676783","59734039","16","0"
"36700170","74940339","5","0"
"36848132","75270731","14","0"
"36912286","76884717","1","0"
"37015272","21078561","9","0"
"37122733","81519758","8","0"
"37213777","21078561","10","0"
"37260041","32915456","5","0"
"37272278","75270731","12","0"
"37304251","27131848","10","0"
"37318437","79772225","12","0"
"37358298","20201142","12","0"
"37622054","68966834","8","0"
"37639906","73972099","7","0"
"37653993","72158401","5","0"
"37683669","97148389","6","0"
"37704924","34461511","8","0"
"37734886","85657695","5","0"
"37776849","59609769","8","0"
"37989934","56840754","6","0"
"38144980","42903369","4","0"
"38224899","96613811","9","0"
"38354687","42322105","12","0"
"38808090","98027676","13","0"
"38815461","8491828","5","0"
"39090361","11173302","7","0"
"39095089","34461511","2","0"
"39103887","42322105","5","0"
"39172226","74940339","4","0"
"39200759","19492707","9","0"
"39319830","9304588","12","0"
"39469219","51626046","5","0"
"39502289","41227949","3","0"
"39524171","48680673","8","0"
"39597751","79990660","5","0"
"39899245","51774063","1","0"
"39936529","60773118","4","0"
"40035427","50632845","9","0"
"40071058","80803598","19","0"
"40141179","94367801","7","0"
"40211693","9304588","3","0"
"40268151","87373489","4","0"
"40282305","31071604","12","0"
"40408463","11173302","13","0"
"40593295","90193164","11","0"
"40608446","10285883","12","0"
"40645410","39885461","5","0"
"40646197","73972099","18","0"
"40959251","40323829","12","0"
"41081597","66750266","9","0"
"41226239","73972099","5","0"
"41515994","96787646","6","0"
"41605983","14732889","10","0"
"41683847","80803598","9","0"
"41746460","35162940","7","0"
"41858754","42322105","2","0"
"41920752","80803598","13","0"
"42095056","90193164","10","0"
"42163611","46476906","3","0"
"42185389","94367801","2","0"
"42415719","28212392","4","0"
"42429115","78707344","4","0"
"42495553","8491828","3","0"
"42593376","79990660","9","0"
"42647118","56840754","9","0"
"42725657","11173302","2","0"
"42764700","76884717","9","0"
"43058086","46597156","3","0"
"43362619","56840754","11","0"
"43367021","42903369","9","0"
"43450607","90193164","4","0"
"43495236","50632845","3","0"
"43505297","44960821","19","0"
"43538686","65285653","4","0"
"43775929","28212392","7","0"
"43787408","98027676","1","0"
"43791329","87373489","2","0"
"43906560","42903369","3","0"
"44083005","96613811","7","0"
"44230068","32915456","12","0"
"44232716","56840754","12","0"
"44641029","96613811","4","0"
"44660925","42322105","11","0"
"44664935","71128501","1","0"
"44757489","39885461","15","0"
"44969305","19492707","10","0"
"45087055","72722761","2","0"
"45095088","44960821","1","0"
"45095437","52984811","8","0"
"45426403","7819477","6","0"
"45458248","85326506","1","0"
"45494788","14732889","3","0"
"45642110","79701472","1","0"
"45705359","59609769","6","0"
"45729581","44960821","16","0"
"45730985","86083690","4","0"
"45742213","81519758","7","0"
"45767302","94367801","3","0"
"45863347","7819477","1","0"
"45880337","35162940","10","0"
"45910789","60773118","5","0"
"46152592","20201142","1","0"
"46215132","9304588","10","0"
"46229115","133713","7","0"
"46378358","85326506","11","0"
"46416270","59609769","10","0"
"46460625","44960821","13","0"
"46696706","51774063","2","0"
"46747004","73972099","23","0"
"47035844","72686373","9","0"
"47044421","79103275","5","0"
"47056985","96787646","7","0"
"47061427","19492707","1","0"
"47074949","50632845","11","0"
"47113663","44960821","17","0"
"47156393","85657695","6","0"
"47165907","23242296","10","0"
"47182580","65285653","6","0"
"47264971","34786669","1","0"
"47272319","10285883","7","0"
"47357383","79990660","7","0"
"47409268","99194464","18","0"
"47551998","16400118","5","0"
"47616182","41227949","6","0"
"47844415","72686373","4","0"
"47862193","8491828","1","0"
"47938599","42322105","3","0"
"48216381","73972099","19","0"
"48319212","68966834","3","0"
"48381124","51626046","8","0"
"48648528","66750266","6","0"
"48835044","74940339","2","0"
"48887088","42903369","2","0"
"49001701","27131848","7","0"
"49107214","16116614","3","0"
"49151689","23503367","5","0"
"49413214","46476906","8","0"
"49488836","99194464","4","0"
"49558427","9304588","7","0"
"49633111","16861691","5","0"
"49633550","80803598","22","0"
"49637822","40323829","3","0"
"49699340","86083690","8","0"
"49774563","98027676","17","0"
"49985922","133713","3","0"
"50003665","35162940","1","0"
"50030723","80803598","7","0"
"50088792","72158401","2","0"
"50090210","31071604","13","0"
"50246740","16116614","9","0"
"50462640","23503367","9","0"
"50525751","87373489","7","0"
"50568944","79772225","1","0"
"50593675","72158401","6","0"
"50603783","53378923","10","0"
"50630381","16117658","2","0"
"50703394","96787646","11","0"
"50789145","80803598","11","0"
"50876251","68966834","7","0"
"51128143","98027676","21","0"
"51521870","9664111","5","0"
"51605728","96613811","5","0"
"51616493","50632845","4","0"
"51655978","69259421","10","0"
"51837881","79701472","7","0"
"51967681","97148389","1","0"
