"ID_wystepowania","ID_Zawodnika","ID_Regat","ID_wariantu_klubu","WynikWRegatach","Trening"
"7317","24283626","1584594","21267167","0",
"7318","56799050","1584594","21267167","0",
"7320","24283626","42322105","21267167","5",
"7321","56799050","42322105","21267167","5",
"7322","69935946","42322105","46283265","0",
"7323","18443374","42322105","832153","1",
"7324","24283626","73972099","21267167","2",
"7325","56799050","73972099","21267167","2",
"7326","69935946","73972099","46283265","0",
"7327","24283626","77100366","21267167","3",
"7328","56799050","77100366","21267167","3",
"7329","69935946","77100366","46283265","0",
"7330","18443374","77100366","832153","4",
"7331","96789971","34786669","9816690","8",
"7332","11120520","34786669","3343985","7",
"7333","9574951","34786669","90735668","4",
"7334","69935946","34786669","46283265","0",
"7335","96789971","46476906","9816690","4",
"7336","11120520","46476906","3343985","7",
"7337","9574951","46476906","90735668","10",
"7338","69935946","46476906","46283265","0",
"7339","96789971","59734039","9816690","0",
"7340","11120520","59734039","3343985","0",
"7341","9574951","59734039","90735668","0",
"7342","56799050","59734039","21267167","0",
"7343","69935946","59734039","46283265","0",
"7344","96789971","80803598","9816690","0",
"7345","71589137","80803598","4192131","0",
"7346","11120520","80803598","3343985","0",
"7347","9574951","80803598","90735668","0",
"7348","56799050","80803598","21267167","0",
"7349","69935946","80803598","46283265","0",
"7352","9574951","16861691","29673695","11",
"7353","11120520","16861691","88156681","0",
"7354","24283626","16861691","21267167","3",
"7355","56799050","16861691","21267167","3",
"7356","69935946","16861691","46283265","0",
"7359","9574951","52984811","29673695","4",
"7360","11120520","52984811","88156681","0",
"7361","24283626","52984811","21267167","5",
"7362","69935946","52984811","46283265","0",
"7365","9574951","85326506","29673695","2",
"7366","11120520","85326506","88156681","0",
"7367","24283626","85326506","21267167","1",
"7368","56799050","85326506","21267167","1",
"7369","69935946","85326506","46283265","0",
"7372","9574951","85657695","29673695","3",
"7373","11120520","85657695","88156681","0",
"7374","24283626","85657695","21267167","1",
"7375","56799050","85657695","21267167","1",
"7376","69935946","85657695","46283265","0",
"7377","96789971","23503367","9816690","9",
"7378","71589137","23503367","31561187","2",
"7379","9574951","23503367","29673695","1",
"7380","69935946","23503367","29673695","1",
"7381","24283626","23503367","21267167","5",
"7382","873413","23503367","21267167","5",
"7383","56799050","23503367","21267167","5",
"7384","96789971","42903369","9816690","9",
"7385","71589137","42903369","31561187","3",
"7386","9574951","42903369","29673695","4",
"7387","69935946","42903369","29673695","4",
"7388","24283626","42903369","21267167","8",
"7389","96789971","76884717","9816690","5",
"7390","71589137","76884717","31561187","7",
"7391","22785032","76884717","29673695","2",
"7392","69935946","76884717","29673695","2",
"7393","24283626","76884717","21267167","6",
"7394","96789971","79990660","9816690","11",
"7395","21665175","79990660","46283265","0",
"7396","71589137","79990660","31561187","6",
"7397","9574951","79990660","29673695","1",
"7398","69935946","79990660","29673695","1",
"7399","24283626","79990660","21267167","2",
"7400","22785032","16400118","57461405","2",
"7401","56799050","16400118","77473926","1",
"7402","22785032","39885461","57461405","1",
"7403","56799050","39885461","77473926","5",
"7404","22785032","90193164","57461405","1",
"7406","56799050","90193164","77473926","3",
"7407","22785032","99194464","57461405","1",
"7409","56799050","99194464","77473926","2",
"7410","96789971","27131848","9816690","9",
"7411","75356731","27131848","46283265","7",
"7412","71589137","27131848","31561187","2",
"7413","13647562","27131848","31561187","2",
"7414","21665175","27131848","29673695","8",
"7415","69935946","27131848","29673695","8",
"7416","24283626","27131848","21267167","12",
"7417","873413","27131848","21267167","12",
"7418","96789971","40323829","9816690","6",
"7419","9574951","40323829","9816690","6",
"7420","71589137","40323829","31561187","4",
"7421","13647562","40323829","31561187","4",
"7422","21665175","40323829","29673695","5",
"7423","69935946","40323829","29673695","5",
"7424","24283626","40323829","21267167","11",
"7425","873413","40323829","21267167","11",
"7426","96789971","56840754","9816690","8",
"7427","71589137","56840754","31561187","2",
"7428","13647562","56840754","31561187","2",
"7429","21665175","56840754","29673695","1",
"7430","69935946","56840754","29673695","1",
"7431","24283626","56840754","21267167","9",
"7432","873413","56840754","21267167","9",
"7434","96789971","81519758","9816690","10",
"7435","71589137","81519758","31561187","4",
"7436","13647562","81519758","31561187","4",
"7437","21665175","81519758","29673695","7",
"7438","69935946","81519758","29673695","7",
"7439","24283626","81519758","21267167","11",
"7440","873413","81519758","21267167","11",
"7441","24449860","11173302","35887754","6",
"7442","22785032","56595466","3343985","10",
"7443","67917096","56595466","3343985","10",
"7444","24449860","56595466","35887754","6",
"7445","37577452","61637084","3343985","7",
"7446","24449860","61637084","35887754","1",
"7447","24449860","96787646","35887754","3",
"7448","96789971","11291612","9816690","9",
"7450","71589137","11291612","31561187","5",
"7451","13647562","11291612","31561187","5",
"7452","21665175","11291612","29673695","4",
"7453","69935946","11291612","29673695","4",
"7454","15603428","11291612","57461405","2",
"7455","24283626","11291612","21267167","8",
"7456","873413","11291612","21267167","8",
"7457","56799050","11291612","77473926","1",
"7458","96789971","48680673","9816690","11",
"7460","71589137","48680673","31561187","9",
"7461","13647562","48680673","31561187","9",
"7462","69935946","48680673","29673695","6",
"7463","15603428","48680673","57461405","3",
"7464","65824952","48680673","21267167","10",
"7465","24283626","48680673","21267167","10",
"7466","873413","48680673","21267167","10",
"7467","56799050","48680673","77473926","1",
"7468","9574951","78707344","66803490","7",
"7469","96789971","78707344","9816690","12",
"7471","71589137","78707344","31561187","8",
"7472","13647562","78707344","31561187","8",
"7473","69935946","78707344","29673695","10",
"7474","15603428","78707344","57461405","1",
"7475","65824952","78707344","21267167","11",
"7476","24283626","78707344","21267167","11",
"7477","873413","78707344","21267167","11",
"7478","56799050","78707344","77473926","3",
"7479","96789971","79103275","9816690","10",
"7481","71589137","79103275","31561187","9",
"7482","13647562","79103275","31561187","9",
"7483","21665175","79103275","29673695","8",
"7484","69935946","79103275","29673695","8",
"7485","15603428","79103275","57461405","3",
"7486","24283626","79103275","21267167","12",
"7487","873413","79103275","21267167","12",
"7488","56799050","79103275","77473926","2",
"7489","95999433","20201142","97015711","1",
"7490","22785032","20201142","21863651","6",
"7491","11120520","20201142","32679058","7",
"7492","79147169","20201142","23474192","8",
"7493","95999433","68966834","97015711","2",
