regaty,ID_wariantu_klubu,miejsceWRegatach
99194464,49746069,1
99194464,77473926,2
99194464,64830853,3
99194464,66803490,4
99194464,20708529,5
99194464,97519162,6
99194464,68504006,7
99194464,96517047,8
99194464,15248730,9
90193164,49746069,1
90193164,66803490,2
90193164,77473926,3
90193164,64830853,4
90193164,20708529,5
90193164,68504006,6
90193164,96517047,7
90193164,97519162,8
90193164,15248730,9
39885461,49746069,1
39885461,64830853,2
39885461,66803490,3
39885461,97519162,4
39885461,77473926,5
39885461,20708529,6
39885461,68504006,7
39885461,15248730,8
39885461,96517047,9
16400118,77473926,1
16400118,49746069,2
16400118,68504006,3
16400118,64830853,4
16400118,97519162,5
16400118,66803490,6
16400118,20708529,7
16400118,15248730,8
16400118,96517047,9
96787646,32679058,1
96787646,5394163,2
96787646,35887754,3
96787646,97519162,4
96787646,3343985,5
96787646,20708529,6
96787646,38352842,7
96787646,28130866,8
96787646,23372296,9
96787646,15248730,10
96787646,23628341,11
96787646,96517047,12
61637084,35887754,1
61637084,32679058,2
61637084,23628341,3
61637084,5394163,4
61637084,20708529,5
61637084,23372296,6
61637084,3343985,7
61637084,97519162,8
61637084,15248730,9
61637084,28130866,10
61637084,38352842,11
61637084,96517047,12
11173302,32679058,1
11173302,3343985,2
11173302,5394163,3
11173302,23628341,4
11173302,38352842,5
11173302,35887754,6
11173302,97519162,7
11173302,20708529,8
11173302,15248730,9
11173302,23372296,10
11173302,28130866,11
11173302,96517047,12
56595466,32679058,1
56595466,97519162,2
56595466,38352842,3
56595466,23372296,4
56595466,23628341,5
56595466,35887754,6
56595466,5394163,7
56595466,20708529,8
56595466,15248730,9
56595466,3343985,10
56595466,28130866,11
56595466,96517047,12
79772225,75141924,1
79772225,95701656,2
79772225,26725552,3
79772225,57461405,4
79772225,97015711,5
79772225,23372296,6
79772225,86806554,7
79772225,59287240,8
79772225,1026501,9
79772225,23474192,10
79772225,21863651,11
79772225,80070716,12
79772225,48068506,13
79772225,28130866,14
79772225,40632154,15
79772225,8699349,16
79772225,15248730,17
79772225,96517047,18
20201142,97015711,1
20201142,95701656,2
20201142,75141924,3
20201142,26725552,4
20201142,59287240,5
20201142,21863651,6
20201142,57461405,7
20201142,23474192,8
20201142,23372296,9
20201142,8699349,10
20201142,86806554,11
20201142,80070716,12
20201142,15248730,13
20201142,28130866,14
20201142,1026501,15
20201142,40632154,16
20201142,48068506,17
20201142,96517047,18
96613811,26725552,1
96613811,97015711,2
96613811,95701656,3
96613811,75141924,4
96613811,23372296,5
96613811,57461405,6
96613811,28130866,7
96613811,59287240,8
96613811,15248730,9
96613811,86806554,10
96613811,21863651,11
96613811,8699349,12
96613811,23474192,13
96613811,80070716,14
96613811,40632154,15
96613811,1026501,16
96613811,48068506,17
96613811,96517047,18
68966834,75141924,1
68966834,97015711,2
68966834,26725552,3
68966834,95701656,4
68966834,86806554,5
68966834,21863651,6
68966834,23474192,7
68966834,57461405,8
68966834,80070716,9
68966834,59287240,10
68966834,8699349,11
68966834,1026501,12
68966834,28130866,13
68966834,15248730,14
68966834,23372296,15
68966834,48068506,16
68966834,40632154,17
68966834,96517047,18
31071604,73113253,1
31071604,12403011,2
31071604,39923431,3
31071604,79632095,4
31071604,8699349,5
31071604,80070716,6
31071604,27044513,7
31071604,79941094,8
31071604,9816690,9
31071604,23474192,10
31071604,20708529,11
31071604,64830853,12
31071604,2968352,13
31071604,64521030,14
31071604,10576990,15
31071604,59382754,16
31071604,73880943,17
31071604,59287240,18
59609769,39923431,1
59609769,23474192,2
59609769,64521030,3
59609769,79632095,4
59609769,27044513,5
59609769,10576990,6
59609769,73113253,7
59609769,80070716,8
59609769,12403011,9
59609769,8699349,10
59609769,59287240,11
59609769,2968352,12
59609769,20708529,13
59609769,9816690,14
59609769,64830853,15
59609769,79941094,16
59609769,73880943,17
59609769,59382754,18
51626046,12403011,1
51626046,39923431,2
51626046,27044513,3
51626046,73113253,4
51626046,64521030,5
51626046,23474192,6
51626046,8699349,7
51626046,80070716,8
51626046,20708529,9
51626046,59287240,10
51626046,2968352,11
51626046,10576990,12
51626046,59382754,13
51626046,73880943,14
51626046,9816690,15
51626046,64830853,16
51626046,79632095,17
51626046,79941094,18
72870325,12403011,1
72870325,39923431,2
72870325,10576990,3
72870325,59287240,4
72870325,73113253,5
72870325,27044513,6
72870325,80070716,7
72870325,20708529,8
72870325,2968352,9
72870325,23474192,10
72870325,8699349,11
72870325,9816690,12
72870325,59382754,13
72870325,79941094,14
72870325,64521030,15
72870325,79632095,16
72870325,64830853,17
72870325,73880943,18
10285883,10576990,1
10285883,64830853,2
10285883,35887754,3
10285883,23474192,4
10285883,20708529,5
10285883,38352842,6
10285883,8699349,7
10285883,77996720,8
10285883,59287240,9
10285883,64521030,10
10285883,23372296,11
10285883,56265761,12
10285883,74174186,13
10285883,59382754,14
10285883,96517047,15
10285883,2968352,16
10285883,35882268,17
10285883,79941094,18
50632845,35887754,1
50632845,74174186,2
50632845,2968352,3
50632845,64830853,4
50632845,23474192,5
50632845,10576990,6
50632845,8699349,7
50632845,77996720,8
50632845,23372296,9
50632845,59287240,10
50632845,56265761,11
50632845,20708529,12
50632845,38352842,13
50632845,35882268,14
50632845,79941094,15
50632845,64521030,16
50632845,96517047,17
50632845,59382754,18
60773118,64830853,1
60773118,35887754,2
60773118,10576990,3
60773118,59287240,4
60773118,23474192,5
